,Low,High,Open,Close,Volume_BTC,,,,,,
1.70407E+12,42661.54,42732.11,42658.26,42717.04,105.56658,1.70407E+12,4507224.005,6152,64.71982,2763150.514,0
1.70407E+12,42716.01,42775.13,42712.5,42754.29,113.01704,1.70407E+12,4830922.795,6805,62.8268,2685474.462,0
1.70407E+12,42754.29,42815.89,42716.8,42805.77,125.55625,1.70407E+12,5371068.454,7383,67.92163,2905559.152,0
1.70407E+12,42805.14,42807.02,42750.06,42759.13,36.91054,1.70407E+12,1578754.84,2584,16.13796,690247.9717,0
1.70407E+12,42758.99,42779.19,42737.82,42740.64,42.44261,1.70407E+12,1814597.502,2548,20.94026,895277.9032,0
1.70407E+12,42739.77,42792.48,42709.43,42765.97,71.8065,1.70407E+12,3070244.747,4565,36.345,1553887.016,0
1.70407E+12,42765.4,42775.13,42744,42749.3,23.1407,1.70407E+12,989536.422,1391,9.81713,419820.8623,0
1.70407E+12,42749.84,42754.16,42728.3,42734.97,22.72292,1.70407E+12,971199.4657,1365,9.39025,401368.5575,0
1.70407E+12,42733,42748.01,42727.91,42737.27,18.96979,1.70407E+12,810719.4702,1200,9.27689,396481.5333,0
1.70407E+12,42737.23,42753.12,42725.51,42728.63,25.32199,1.70407E+12,1082285.045,1526,11.00902,470567.3926,0
1.70407E+12,42728.62,42746.73,42728,42734.76,16.75801,1.70407E+12,716207.5798,935,7.21191,308235.1115,0
1.70407E+12,42734.76,42738,42703,42703,19.9756,1.70407E+12,853308.4257,1219,8.80551,376156.8837,0
1.70407E+12,42703.11,42741.03,42685.76,42710.14,47.57428,1.70407E+12,2032289.486,2642,24.64161,1052686.389,0
1.70407E+12,42710,42759.09,42707.7,42735.88,40.66132,1.70407E+12,1737685.392,2291,21.99645,940064.1653,0
1.70407E+12,42734.13,42752,42711.83,42717.69,20.34484,1.70407E+12,869293.9992,1179,7.65523,327122.0655,0
1.70407E+12,42717.69,42735.75,42706.24,42730.17,17.58759,1.70407E+12,751356.894,1028,9.68735,413873.2615,0
1.70407E+12,42731.99,42732.55,42707.72,42708.01,12.75238,1.70407E+12,544776.0228,634,3.64436,155698.229,0
1.70407E+12,42709.73,42713.34,42691.17,42703.38,12.00456,1.70407E+12,512609.7483,689,6.52522,278641.4512,0
