,Open,High,Low,Close,Volume_BTC,,,,,,
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29139.53,29139.53,29139.53,29139.53,0,1.69E+12,0,0,0,0,0
1.69E+12,29116,29116,29116,29116,0.00342,1.69E+12,99.57672,1,0.00342,99.57672,0
1.69E+12,29116,29116,29116,29116,0,1.69E+12,0,0,0,0,0
1.69E+12,29116,29116,29116,29116,0,1.69E+12,0,0,0,0,0
1.69E+12,29116,29116,29116,29116,0,1.69E+12,0,0,0,0,0
1.69E+12,29116,29116,29116,29116,0,1.69E+12,0,0,0,0,0
1.69E+12,29116,29116,29116,29116,0,1.69E+12,0,0,0,0,0
1.69E+12,29157.6,29157.6,29157.6,29157.6,0.00063,1.69E+12,18.369288,1,0.00063,18.369288,0
1.69E+12,29157.6,29157.6,29157.6,29157.6,0,1.69E+12,0,0,0,0,0
1.69E+12,29157.6,29157.6,29157.6,29157.6,0,1.69E+12,0,0,0,0,0
1.69E+12,29157.6,29157.6,29157.6,29157.6,0,1.69E+12,0,0,0,0,0
1.69E+12,29157.6,29157.6,29157.6,29157.6,0,1.69E+12,0,0,0,0,0
1.69E+12,29157.6,29157.6,29157.6,29157.6,0,1.69E+12,0,0,0,0,0
1.69E+12,29157.6,29157.6,29157.6,29157.6,0,1.69E+12,0,0,0,0,0
1.69E+12,29135.78,29220.62,29135.78,29210.96,0.73445,1.69E+12,21417.20422,36,0.32345,9431.293375,0
1.69E+12,29142.02,29193.41,29142.02,29172.52,0.31201,1.69E+12,9103.980033,17,0.25801,7528.446963,0
1.69E+12,29177.36,29177.36,29167.42,29170.07,0.157,1.69E+12,4579.80054,7,0.053,1546.38184,0
1.69E+12,29158.87,29162.19,29158.86,29162.19,0.102,1.69E+12,2974.210885,4,0,0,0
1.69E+12,29128.96,29128.99,29116.1,29128.99,0.102,1.69E+12,2969.86795,4,0.002,58.25795,0
1.69E+12,29133.31,29142.12,29123.11,29125.96,0.05436,1.69E+12,1584.102653,4,0.05236,1525.856433,0
1.69E+12,29095.99,29110.01,29095,29110.01,1.01758,1.69E+12,29608.80456,19,0.15178,4418.295938,0
1.69E+12,29096.99,29116.16,29095,29116.16,0.58983,1.69E+12,17161.77841,13,0.301,8757.99416,0
1.69E+12,29141.96,29141.96,29141.96,29141.96,0.00696,1.69E+12,202.8280416,1,0.00696,202.8280416,0
1.69E+12,29141.9,29141.9,29141.9,29141.9,0.04201,1.69E+12,1224.251219,1,0,0,0
1.69E+12,29118.18,29160,29118.18,29157.33,0.11197,1.69E+12,3264.682512,8,0.10796,3147.83609,0
1.69E+12,29157.33,29157.33,29157.33,29157.33,0,1.69E+12,0,0,0,0,0
1.69E+12,29180.32,29190.64,29180.32,29190.64,0.00695,1.69E+12,202.8346903,3,0.00695,202.8346903,0
1.69E+12,29166.86,29178.38,29151.16,29178.38,0.1139,1.69E+12,3322.076303,4,0.00695,202.789741,0
1.69E+12,29178.38,29178.38,29178.38,29178.38,0,1.69E+12,0,0,0,0,0
1.69E+12,29178.38,29178.38,29178.38,29178.38,0,1.69E+12,0,0,0,0,0
1.69E+12,29150.65,29150.65,29150.64,29150.64,0.05724,1.69E+12,1668.582703,2,0.00695,202.5970175,0
1.69E+12,29150.64,29150.64,29150.64,29150.64,0,1.69E+12,0,0,0,0,0
