,Open,High,Low,Close,Volume_BTC,,,,,,
1.67855E+12,20303.32,20303.32,20303.32,20303.32,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20303.33,20303.33,20303.33,20303.33,0.00053,1.67855E+12,10.7607649,1,0,0,0
1.67855E+12,20303.34,20303.35,20303.34,20303.35,0.00114,1.67855E+12,23.1458137,2,0.00114,23.1458137,0
1.67855E+12,20303.35,20303.35,20303.35,20303.35,0,1.67855E+12,0,0,0,0,0
1.67855E+12,20303.35,20303.35,20303.35,20303.35,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20371.15,20371.15,20371.15,20371.15,0.00977,1.67856E+12,199.0261355,3,0,0,0
1.67856E+12,20371.15,20371.15,20371.15,20371.15,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20371.15,20371.15,20371.15,20371.15,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20371.15,20371.15,20371.15,20371.15,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20371.15,20371.15,20371.15,20371.15,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0.00091,1.67856E+12,18.4876055,1,0.00091,18.4876055,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0.00886,1.67856E+12,180.000203,5,0.00886,180.000203,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0.00364,1.67856E+12,73.950422,2,0.00364,73.950422,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20316.05,20316.05,20316.05,20316.05,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20548,20548,20548,20548,0.00349,1.67856E+12,71.71252,1,0.00349,71.71252,0
1.67856E+12,20550,20550,20550,20550,0.0113,1.67856E+12,232.215,1,0.0113,232.215,0
1.67856E+12,20550,20550,20550,20550,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20550,20550,20550,20550,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20550,20550,20550,20550,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20550,20550,20550,20550,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20550,20550,20550,20550,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20550,20550,20550,20550,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20550,20550,20550,20550,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20550,20550,20550,20550,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20550,20550,20550,20550,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20385.02,20385.02,20385.02,20385.02,0.00086,1.67856E+12,17.5311172,1,0,0,0
1.67856E+12,20385.02,20385.02,20385.02,20385.02,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20385.02,20385.02,20385.02,20385.02,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20385.02,20385.02,20385.02,20385.02,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20549.99,20549.99,20549.99,20549.99,0.00085,1.67856E+12,17.4674915,1,0.00085,17.4674915,0
1.67856E+12,20549.99,20549.99,20549.99,20549.99,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20549.99,20549.99,20549.99,20549.99,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20549.99,20549.99,20549.99,20549.99,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20549.99,20549.99,20549.99,20549.99,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20549.99,20549.99,20549.99,20549.99,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20549.99,20549.99,20549.99,20549.99,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20549.99,20549.99,20549.99,20549.99,0,1.67856E+12,0,0,0,0,0
1.67856E+12,20385.01,20385.01,20176,20176,0.34792,1.67856E+12,7054.203649,3,0,0,0
